window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
23.0,10.42.0.2,14,7.0,80.51138461538443,248.14036373656276,,,234.5,0.5188745216627708,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
38.0,10.42.0.4,14,7.0,79.98492307692337,254.83399975140964,,,268.0,1.0377490433255416,64.0,0.0,1,1,12,1,wifi-phy-0-drones-host-3-0
107.0,10.42.0.2,14,7.0,80.40676923076919,252.9049431272104,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
78.5,10.42.0.2,14,7.0,80.57538461538408,252.42092308180207,,,179.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
12.5,10.42.0.2,4,2.0,333.4599999999999,471.06888077222936,16.0,0.0,191.5,89.49301648732151,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
73.5,10.42.0.2,14,7.0,78.71692307692294,256.95066247118365,,,179.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
86.0,10.42.0.2,14,7.0,80.00000000000048,258.60670596337945,16.0,0.0,181.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
73.0,10.42.0.2,14,7.0,79.32461538461465,255.53231066556643,,,179.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
32.0,10.42.0.2,14,7.0,79.41846153846163,251.5936493587091,16.0,0.0,271.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
102.0,10.42.0.2,14,7.0,80.07907692307671,251.49576930237671,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
120.5,10.42.0.2,14,7.0,79.25753846153765,257.26445453197346,,,180.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
54.0,10.42.0.4,14,7.0,81.39015384615405,248.65703231245487,16.0,0.0,209.0,29.056973213115164,64.0,0.0,1,1,12,1,wifi-phy-0-drones-host-2-0
105.0,10.42.0.2,14,7.0,79.09138461538461,257.07224007556465,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
21.5,10.42.0.2,14,7.0,81.55138461538468,251.53666907401816,16.0,0.0,235.5,0.5188745216627708,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
130.5,10.42.0.2,14,7.0,79.71907692307721,251.82426543141122,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
122.01,10.42.0.4,14,7.0,153.40553846153918,347.59638298034747,16.0,0.0,182.0,0.0,64.0,0.0,1,1,11,1,wifi-phy-0-drones-host-1-0
20.0,10.42.0.2,14,7.0,81.25292307692297,253.90446844144455,16.0,0.0,234.0,1.0377490433255416,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
50.5,10.42.0.4,14,7.0,82.05753846153823,255.00165295893174,16.0,0.0,235.0,1.0377490433255416,64.0,0.0,1,1,12,1,wifi-phy-0-drones-host-2-0
12.5,10.42.0.4,4,2.0,333.4599999999999,471.06888077222936,16.0,0.0,191.5,89.49301648732151,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
34.5,10.42.0.2,14,7.0,79.69876923076941,254.2792630687626,16.0,0.0,269.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
121.5,10.42.0.2,14,7.0,79.42676923076857,257.00823796379774,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
119.0,10.42.0.2,14,7.0,78.97907692307626,249.81079852574683,16.0,0.0,182.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
39.5,10.42.0.2,14,7.0,80.12676923076938,255.5050941241834,16.0,0.0,270.5,0.5188745216627708,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
80.0,10.42.0.2,14,7.0,80.11230769230775,251.91403766284358,16.0,0.0,181.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
29.5,10.42.0.2,14,7.0,81.67630769230773,251.0965732472682,16.0,0.0,269.5,1.5566235649883124,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
18.0,10.42.0.2,14,7.0,79.46984615384632,252.74249521532516,16.0,0.0,235.5,0.5188745216627708,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
55.0,10.42.0.2,14,7.0,80.7707692307695,248.5097148530236,16.0,0.0,181.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
129.5,10.42.0.2,14,7.0,80.63600000000056,256.5704025235086,,,180.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
49.0,10.42.0.2,14,7.0,79.66153846153864,254.02856082932297,,,235.0,1.0377490433255416,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
104.5,10.42.0.2,14,7.0,79.09138461538461,257.07224007556465,,,180.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
87.0,10.42.0.2,14,7.0,79.57846153846158,254.17931519806518,,,179.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
97.0,10.42.0.2,14,7.0,78.80769230769147,258.60434293913715,,,179.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
19.5,10.42.0.4,14,7.0,81.25292307692297,253.90446844144455,16.0,0.0,234.0,1.0377490433255416,64.0,0.0,1,1,12,1,wifi-phy-0-drones-host-0-0
105.5,10.42.0.2,14,7.0,80.28984615384616,257.4211537138332,,,180.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
50.5,10.42.0.2,14,7.0,82.05753846153823,255.00165295893174,16.0,0.0,235.0,1.0377490433255416,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
54.5,10.42.0.2,14,7.0,80.7707692307695,248.5097148530236,16.0,0.0,181.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
16.5,10.42.0.4,14,7.0,80.39784615384622,254.50749923539195,16.0,0.0,235.0,0.0,64.0,0.0,1,1,12,1,wifi-phy-0-drones-host-0-0
43.5,10.42.0.2,14,7.0,82.1729230769234,253.22042104624975,,,234.5,0.5188745216627708,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-1-0
56.0,10.42.0.2,14,7.0,78.87230769230769,251.50785930995085,16.0,0.0,181.0,0.0,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-0-0
52.0,10.42.0.2,14,7.0,79.76738461538429,246.45876748159088,16.0,0.0,235.0,1.0377490433255416,64.0,0.0,1,1,12,0,wifi-phy-0-drones-host-2-0
