window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
75.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
77.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
80.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
82.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
85.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
87.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
90.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
92.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
95.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
97.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
100.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
102.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
105.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
107.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
110.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
112.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
115.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
117.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
120.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
122.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
125.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
127.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
130.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
132.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
135.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
137.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
140.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
142.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
