window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
82.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,150.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
792.5,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
38.5,10.42.0.2,350,70.0,14.142085959885375,18.200527491444266,16.0,0.0,256.28,14.20486215640692,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-2-0
103.5,10.42.0.2,350,70.0,14.215289398280792,19.403955836882925,16.0,0.0,183.0,0.0,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-2-0
1175.0,10.42.0.2,500,100.0,9.980689378757534,9.635980650661132,16.0,0.0,151.0,34.03405108514902,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-3-0
133.5,10.42.0.2,112,22.4,13.76014414414418,19.377845568124673,16.0,0.0,183.0,0.0,64.0,0.0,1,1,96,0,wifi-phy-0-drones-host-2-0
26.0,10.42.0.2,350,70.0,14.131896848137535,18.47831373589889,,,224.84,38.265362104163486,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-1-0
23.5,10.42.0.2,350,70.0,14.162418338108882,18.434212430684614,16.0,0.0,223.74,22.942018607024163,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-0-0
101.0,10.42.0.2,350,70.0,14.218005730658998,19.036188991897298,16.0,0.0,182.82,0.3847374723575846,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-2-0
83.5,10.42.0.2,350,70.0,14.193547277936958,19.174533603818645,,,180.0,0.0,64.0,0.0,1,1,300,0,wifi-phy-0-drones-host-1-0
