window_start,src_ip,n_packets,pkt_rate,mean_ipd_ms,jitter_ms,rssi_mean_dbm,rssi_std_dbm,mean_pkt_len,std_pkt_len,ttl_mean,ttl_std,n_unique_src,n_unique_dst,dup_ip_id,label,node
1.0,10.42.0.2,10,2.0,445.73811111111115,497.39204455114225,16.0,0.0,176.1,71.94820667983633,64.0,0.0,2,3,1,0,wifi-phy-0-ZSPs-host-3-0
3.5,10.42.0.2,10,2.0,444.4866666666666,496.5442394935443,16.0,0.0,188.1,79.2793233517486,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
6.0,10.42.0.2,10,2.0,444.49911111111106,496.55815054979445,16.0,0.0,188.1,79.2793233517486,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
8.5,10.42.0.2,10,2.0,444.48755555555545,496.5452303782191,16.0,0.0,190.4,80.95979797954593,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
11.0,10.42.0.2,10,2.0,444.45733333333317,496.5114474374634,16.0,0.0,187.9,78.49196703414235,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
13.5,10.42.0.2,4,0.8,333.3639999999996,470.93311627024093,16.0,0.0,183.5,81.44323176298937,64.0,0.0,2,2,0,0,wifi-phy-0-ZSPs-host-3-0
1.0,10.42.0.4,10,2.0,445.73811111111115,497.39204455114225,16.0,0.0,176.1,71.94820667983633,64.0,0.0,2,3,1,1,wifi-phy-0-ZSPs-host-4-0
3.5,10.42.0.4,10,2.0,444.4866666666666,496.5442394935443,16.0,0.0,188.1,79.2793233517486,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
6.0,10.42.0.4,10,2.0,444.49911111111106,496.55815054979445,16.0,0.0,188.1,79.2793233517486,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
8.5,10.42.0.4,10,2.0,444.48755555555545,496.5452303782191,16.0,0.0,190.4,80.95979797954593,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
11.0,10.42.0.4,10,2.0,444.45733333333317,496.5114474374634,16.0,0.0,187.9,78.49196703414235,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
13.5,10.42.0.4,4,0.8,333.3639999999996,470.93311627024093,16.0,0.0,183.5,81.44323176298937,64.0,0.0,2,2,0,1,wifi-phy-0-ZSPs-host-4-0
